satellite,predicted_datetime_utc,days_until,closest_approach_km,swath_half_width_km
SENTINEL-1C,2026-08-24 23:38:07.512022,0.1361111111111111,115.24702619124649,125
SENTINEL-2B,2026-08-25 03:57:37.512019,0.31631944444444443,120.44179881962594,145
SENTINEL-2A,2026-08-25 04:08:07.512022,0.3236111111111111,130.1870259163442,145
SENTINEL-1A,2026-08-25 12:14:37.512052,0.6614583333333334,67.2432615389889,125
SENTINEL-1C,2026-08-26 12:21:07.512029,1.6659722222222222,94.40154189280179,125
SENTINEL-2B,2026-08-28 04:07:37.512023,3.323263888888889,124.00890972542022,145
SENTINEL-1A,2026-08-28 23:37:37.512023,4.135763888888889,83.32731518026938,125
SENTINEL-2C,2026-08-29 16:44:07.512054,4.848611111111111,106.53737554483112,145
SENTINEL-2C,2026-08-30 03:57:37.512019,5.316319444444445,124.8606125960901,145
SENTINEL-1A,2026-08-30 12:20:07.512032,5.665277777777778,70.83660364848356,125
LANDSAT 8,2026-08-31 03:44:37.512025,6.307291666666667,42.96383823834781,92
SENTINEL-2A,2026-08-31 16:44:37.512052,6.848958333333333,87.35823445425827,145
SENTINEL-2A,2026-09-01 03:58:07.512057,7.316666666666666,110.68313982875515,145
LANDSAT 8,2026-09-01 16:31:07.512020,7.839583333333334,64.37170307720457,92
SENTINEL-2C,2026-09-02 04:07:37.512023,8.323263888888889,127.5648728429838,145
SENTINEL-1C,2026-09-02 12:13:07.512057,8.660416666666666,99.55580405167501,125
SENTINEL-2B,2026-09-03 16:44:07.512054,9.848611111111111,93.91754379707555,145
SENTINEL-2B,2026-09-04 03:57:37.512019,10.316319444444444,113.93601534858415,145
SENTINEL-2A,2026-09-04 04:08:07.512022,10.323611111111111,137.26376002720195,145
SENTINEL-1C,2026-09-05 23:38:07.512022,12.136111111111111,114.53253114124387,125
SENTINEL-2B,2026-09-06 16:54:07.512058,12.855555555555556,142.8203776557717,145
SENTINEL-2B,2026-09-07 04:07:37.512023,13.323263888888889,119.48893832133597,145
SENTINEL-1C,2026-09-07 12:21:07.512029,13.665972222222223,94.99454555710656,125
SENTINEL-2C,2026-09-08 16:44:07.512054,14.848611111111111,106.20528216636298,145
SENTINEL-2C,2026-09-09 03:57:37.512019,15.316319444444444,124.05887371792659,145
LANDSAT 9,2026-09-09 16:31:07.512020,15.839583333333334,45.776272200399696,92
SENTINEL-1A,2026-09-09 23:31:07.512047,16.13125,70.88417200737582,125
SENTINEL-2A,2026-09-10 16:44:37.512052,16.848958333333332,107.14399019880913,145
SENTINEL-2A,2026-09-11 03:58:07.512057,17.316666666666666,129.55947004215273,145
SENTINEL-1A,2026-09-11 12:13:37.512056,17.660763888888887,97.37642930447124,125
SENTINEL-2C,2026-09-12 04:07:37.512023,18.32326388888889,126.94241485338335,145
SENTINEL-2B,2026-09-13 16:44:07.512054,19.84861111111111,86.54755259209506,145
SENTINEL-2B,2026-09-14 03:57:37.512019,20.316319444444446,110.73421467938692,145
SENTINEL-1C,2026-09-14 12:13:07.512057,20.660416666666666,99.49200100030603,125
SENTINEL-1A,2026-09-14 23:36:37.512027,21.135069444444444,60.47376416156702,125
LANDSAT 8,2026-09-16 03:44:37.512025,22.307291666666668,37.94706815317838,92
SENTINEL-1A,2026-09-16 12:19:07.512036,22.664583333333333,90.93106216931812,125
SENTINEL-2B,2026-09-17 04:07:37.512023,23.32326388888889,133.15681173777153,145
LANDSAT 8,2026-09-17 16:31:07.512020,23.839583333333334,70.66107521777887,92
SENTINEL-1C,2026-09-17 23:38:07.512022,24.136111111111113,116.12108584844495,125
SENTINEL-2C,2026-09-18 16:44:07.512054,24.84861111111111,101.77546187892973,145
SENTINEL-2C,2026-09-19 03:57:37.512019,25.316319444444446,119.75781511320542,145
SENTINEL-1C,2026-09-19 12:21:07.512029,25.665972222222223,94.80566900908383,125
SENTINEL-2A,2026-09-20 16:44:07.512054,26.84861111111111,109.47075158689218,145
SENTINEL-2A,2026-09-21 03:57:37.512019,27.316319444444446,125.39082926548035,145
SENTINEL-2C,2026-09-22 04:07:37.512023,28.32326388888889,124.09725932204739,145
SENTINEL-2B,2026-09-23 16:44:07.512054,29.84861111111111,132.81829724564665,145
SENTINEL-2A,2026-09-23 16:54:07.512058,29.855555555555554,138.12894480736196,145
