product,sensor,id,date,level,resolution_m,aoi_cov_pct,cloud_pct,platform,tile,size_mb,link,instrument_mode,polarization,orbit_pass,instrument,path,row
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260603T163841_20260603T165330_T16SCC,2026-06-03 16:54,L1C,10,100.0,17.1435835592341,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260610T162831_20260610T163352_T16SCC,2026-06-10 16:44,L1C,10,100.0,21.6827316432261,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260628T163859_20260628T165102_T16SCC,2026-06-28 16:54,L1C,10,100.0,7.48876603835934,Sentinel-2B,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260630T162831_20260630T164408_T16SCC,2026-06-30 16:44,L1C,10,100.0,19.8549716407904,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260703T163841_20260703T164607_T16SCC,2026-07-03 16:54,L1C,10,100.0,29.531472453808,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260708T163859_20260708T165005_T16SCC,2026-07-08 16:54,L1C,10,100.0,27.4991132233685,Sentinel-2B,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260718T163859_20260718T164931_T16SCC,2026-07-18 16:54,L1C,10,100.0,28.2866745939556,Sentinel-2B,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260720T162831_20260720T164335_T16SCC,2026-07-20 16:44,L1C,10,100.0,0.740392367643107,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L1C (Top-of-Atmosphere),Sentinel-2,20260730T162841_20260730T163429_T16SCC,2026-07-30 16:44,L1C,10,100.0,18.0763832900355,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L2A (Surface Reflectance),Sentinel-2,20260603T163841_20260603T165330_T16SCC,2026-06-03 16:54,L2A,10,100.0,9.637589,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L2A (Surface Reflectance),Sentinel-2,20260628T163859_20260628T165102_T16SCC,2026-06-28 16:54,L2A,10,100.0,23.249809,Sentinel-2B,16SCC,,,,,,,,
Sentinel-2 L2A (Surface Reflectance),Sentinel-2,20260630T162831_20260630T164408_T16SCC,2026-06-30 16:44,L2A,10,100.0,26.040971,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 L2A (Surface Reflectance),Sentinel-2,20260720T162831_20260720T164335_T16SCC,2026-07-20 16:44,L2A,10,100.0,2.262594,Sentinel-2C,16SCC,,,,,,,,
Sentinel-2 HLS S30,Sentinel-2,HLS.S30.T16SCC.2026154T163841.v2.0,2026-06-03T16:54:07.416Z,HLS S30,30,100.0,6.0,,,,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SCC.2026154T163841.v2.0/HLS.S30.T16SCC.2026154T163841.v2.0.B09.tif,,,,,,
Sentinel-2 HLS S30,Sentinel-2,HLS.S30.T16SCC.2026201T162831.v2.0,2026-07-20T16:44:14.711Z,HLS S30,30,100.0,6.0,,,,https://data.lpdaac.earthdatacloud.nasa.gov/lp-prod-protected/HLSS30.020/HLS.S30.T16SCC.2026201T162831.v2.0/HLS.S30.T16SCC.2026201T162831.v2.0.B07.tif,,,,,,
Sentinel-1 GRD High-Res (Dual-pol),Sentinel-1,S1A_IW_GRDH_1SDV_20260610T235457_20260610T235522_064914_082E20_CF54,2026-06-10T23:54:57.895Z,GRDH,10,100.0,,,,969.3492431640625,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20260610T235457_20260610T235522_064914_082E20_CF54.zip,IW,DV,,,,
Sentinel-1 GRD High-Res (Dual-pol),Sentinel-1,S1A_IW_GRDH_1SDV_20260622T235457_20260622T235522_065089_083447_3A91,2026-06-22T23:54:57.254Z,GRDH,10,100.0,,,,972.4208087921143,https://datapool.asf.alaska.edu/GRD_HD/SA/S1A_IW_GRDH_1SDV_20260622T235457_20260622T235522_065089_083447_3A91.zip,IW,DV,,,,
Sentinel-1 SLC,Sentinel-1,S1A_IW_SLC__1SDV_20260610T235457_20260610T235523_064914_082E20_6CEC,2026-06-10T23:54:57.022Z,SLC,5,100.0,,,,4538.479952812195,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260610T235457_20260610T235523_064914_082E20_6CEC.zip,IW,DV,,,,
Sentinel-1 SLC,Sentinel-1,S1A_IW_SLC__1SDV_20260622T235456_20260622T235523_065089_083447_C8C0,2026-06-22T23:54:56.377Z,SLC,5,100.0,,,,4558.741018295288,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260622T235456_20260622T235523_065089_083447_C8C0.zip,IW,DV,,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001,2026-06-01T00:44:40.000Z,L1 RSLC,5,100.0,,,,25184.42210292816,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001/NISAR_L1_PR_RSLC_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001,2026-06-02T11:11:21.000Z,L1 RSLC,5,100.0,,,,25224.238110542297,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001/NISAR_L1_PR_RSLC_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001.h5,,,A,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001,2026-06-13T00:44:39.000Z,L1 RSLC,5,100.0,,,,25184.499689102173,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001/NISAR_L1_PR_RSLC_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001,2026-06-14T11:11:20.000Z,L1 RSLC,5,100.0,,,,25224.295503616333,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001/NISAR_L1_PR_RSLC_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001.h5,,,A,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001,2026-06-25T00:44:39.000Z,L1 RSLC,5,100.0,,,,24471.629382133484,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001/NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002,2026-06-25T00:44:39.000Z,L1 RSLC,5,100.0,,,,24471.63013458252,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002/NISAR_L1_PR_RSLC_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_024_004_A_018_4005_DHDH_A_20260626T111120_20260626T111154_P05023_N_F_J_001,2026-06-26T11:11:20.000Z,L1 RSLC,5,100.0,,,,24515.577016830444,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_024_004_A_018_4005_DHDH_A_20260626T111120_20260626T111154_P05023_N_F_J_001/NISAR_L1_PR_RSLC_024_004_A_018_4005_DHDH_A_20260626T111120_20260626T111154_P05023_N_F_J_001.h5,,,A,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_024_156_D_072_4005_DHDH_A_20260707T004438_20260707T004513_P05023_N_F_J_001,2026-07-07T00:44:38.000Z,L1 RSLC,5,100.0,,,,25188.660816192627,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_024_156_D_072_4005_DHDH_A_20260707T004438_20260707T004513_P05023_N_F_J_001/NISAR_L1_PR_RSLC_024_156_D_072_4005_DHDH_A_20260707T004438_20260707T004513_P05023_N_F_J_001.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_025_004_A_018_4005_DHDH_A_20260708T111119_20260708T111154_P05023_N_F_J_001,2026-07-08T11:11:19.000Z,L1 RSLC,5,100.0,,,,25224.59806537628,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_025_004_A_018_4005_DHDH_A_20260708T111119_20260708T111154_P05023_N_F_J_001/NISAR_L1_PR_RSLC_025_004_A_018_4005_DHDH_A_20260708T111119_20260708T111154_P05023_N_F_J_001.h5,,,A,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_025_156_D_072_4005_DHDH_A_20260719T004437_20260719T004512_P05023_N_F_J_001,2026-07-19T00:44:37.000Z,L1 RSLC,5,100.0,,,,25188.724160194397,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_025_156_D_072_4005_DHDH_A_20260719T004437_20260719T004512_P05023_N_F_J_001/NISAR_L1_PR_RSLC_025_156_D_072_4005_DHDH_A_20260719T004437_20260719T004512_P05023_N_F_J_001.h5,,,D,,,
NISAR L1 RSLC (Range-Doppler Complex),NISAR,NISAR_L1_PR_RSLC_026_004_A_018_4005_DHDH_A_20260720T111118_20260720T111153_P05023_N_F_J_001,2026-07-20T11:11:18.000Z,L1 RSLC,5,100.0,,,,25224.528455734253,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L1_RSLC_PROVISIONAL_V1/NISAR_L1_PR_RSLC_026_004_A_018_4005_DHDH_A_20260720T111118_20260720T111153_P05023_N_F_J_001/NISAR_L1_PR_RSLC_026_004_A_018_4005_DHDH_A_20260720T111118_20260720T111153_P05023_N_F_J_001.h5,,,A,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001,2026-06-01T00:44:40.000Z,L2 GCOV,20,100.0,,,,6847.038858413696,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001/NISAR_L2_PR_GCOV_021_156_D_072_4005_DHDH_A_20260601T004440_20260601T004515_P05023_N_F_J_001.h5,,,D,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001,2026-06-02T11:11:21.000Z,L2 GCOV,20,100.0,,,,6860.492957115173,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001/NISAR_L2_PR_GCOV_022_004_A_018_4005_DHDH_A_20260602T111121_20260602T111156_P05023_N_F_J_001.h5,,,A,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001,2026-06-13T00:44:39.000Z,L2 GCOV,20,100.0,,,,6843.105366706848,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001/NISAR_L2_PR_GCOV_022_156_D_072_4005_DHDH_A_20260613T004439_20260613T004514_P05023_N_F_J_001.h5,,,D,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001,2026-06-14T11:11:20.000Z,L2 GCOV,20,100.0,,,,6852.536458015442,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001/NISAR_L2_PR_GCOV_023_004_A_018_4005_DHDH_A_20260614T111120_20260614T111155_P05023_N_F_J_001.h5,,,A,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001,2026-06-25T00:44:39.000Z,L2 GCOV,20,100.0,,,,6654.660131454468,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001/NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_001.h5,,,D,,,
NISAR L2 GCOV (Geocoded Covariance),NISAR,NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002,2026-06-25T00:44:39.000Z,L2 GCOV,20,100.0,,,,6654.660137176514,https://nisar.asf.earthdatacloud.nasa.gov/NISAR/NISAR_L2_GCOV_PROVISIONAL_V1/NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002/NISAR_L2_PR_GCOV_023_156_D_072_4005_DHDH_A_20260625T004439_20260625T004513_P05023_N_F_J_002.h5,,,D,,,
